Kecamatan,Price,Luas Bangunan,Luas Tanah,SD Inklusi,SMP Inklusi,Kepadatan
wonokromo,600000000,70,45,3.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,4.0,3.0,18591.0
wonokromo,600000000,70,45,5.0,3.0,18591.0
rungkut,600000000,2023,48,3.0,2.0,5397.0
rungkut,600000000,2023,48,4.0,2.0,5397.0
rungkut,600000000,2023,48,5.0,2.0,5397.0
rungkut,600000000,2023,48,6.0,2.0,5397.0
rungkut,600000000,2023,48,7.0,3.0,5397.0
rungkut,600000000,2023,48,6.0,3.0,5397.0
rungkut,600000000,2023,48,7.0,3.0,5397.0
rungkut,600000000,2023,48,7.0,3.0,5397.0
rungkut,600000000,2023,48,7.0,3.0,5397.0
rungkut,600000000,2023,48,7.0,3.0,5397.0
semampir,600000000,85,48,6.0,2.0,20254.0
semampir,600000000,85,48,6.0,2.0,20254.0
semampir,600000000,85,48,6.0,2.0,20254.0
semampir,600000000,85,48,6.0,2.0,20254.0
semampir,600000000,85,48,6.0,2.0,20254.0
semampir,600000000,85,48,6.0,2.0,20254.0
semampir,600000000,85,48,7.0,2.0,20254.0
semampir,600000000,85,48,8.0,2.0,20254.0
semampir,600000000,85,48,8.0,2.0,20254.0
semampir,600000000,85,48,8.0,2.0,20254.0
pakal,600000000,91,50,3.0,1.0,3474.0
pakal,600000000,91,50,3.0,1.0,3474.0
pakal,600000000,91,50,3.0,1.0,3474.0
pakal,600000000,91,50,3.0,1.0,3474.0
pakal,600000000,91,50,3.0,1.0,3474.0
pakal,600000000,91,50,0.0,0.0,3474.0
pakal,600000000,91,50,0.0,0.0,3474.0
pakal,600000000,91,50,0.0,0.0,3474.0
pakal,600000000,91,50,0.0,0.0,3474.0
pakal,600000000,91,50,0.0,0.0,3474.0
gayungan,600000000,50,51,6.0,1.0,7444.0
gayungan,600000000,50,51,6.0,1.0,7444.0
gayungan,600000000,50,51,6.0,1.0,7444.0
gayungan,600000000,50,51,6.0,1.0,7444.0
gayungan,600000000,50,51,6.0,1.0,7444.0
gayungan,600000000,50,51,7.0,1.0,7444.0
gayungan,600000000,50,51,6.0,1.0,7444.0
gayungan,600000000,50,51,7.0,1.0,7444.0
gayungan,600000000,50,51,7.0,1.0,7444.0
gayungan,600000000,50,51,7.0,1.0,7444.0
rungkut,600000000,60,60,3.0,2.0,5397.0
rungkut,600000000,60,60,4.0,2.0,5397.0
rungkut,600000000,60,60,5.0,2.0,5397.0
rungkut,600000000,60,60,6.0,2.0,5397.0
rungkut,600000000,60,60,7.0,3.0,5397.0
rungkut,600000000,60,60,6.0,3.0,5397.0
rungkut,600000000,60,60,7.0,3.0,5397.0
rungkut,600000000,60,60,7.0,3.0,5397.0
rungkut,600000000,60,60,7.0,3.0,5397.0
rungkut,600000000,60,60,7.0,3.0,5397.0
tambaksari,600000000,120,60,8.0,2.0,25309.0
tambaksari,600000000,120,60,9.0,2.0,25309.0
tambaksari,600000000,120,60,9.0,2.0,25309.0
tambaksari,600000000,120,60,9.0,2.0,25309.0
tambaksari,600000000,120,60,9.0,2.0,25309.0
tambaksari,600000000,120,60,10.0,2.0,25309.0
tambaksari,600000000,120,60,12.0,2.0,25309.0
tambaksari,600000000,120,60,12.0,2.0,25309.0
tambaksari,600000000,120,60,12.0,2.0,25309.0
tambaksari,600000000,120,60,13.0,2.0,25309.0
benowo,600000000,100,64,3.0,1.0,2813.0
benowo,600000000,100,64,3.0,1.0,2813.0
benowo,600000000,100,64,3.0,1.0,2813.0
benowo,600000000,100,64,4.0,2.0,2813.0
benowo,600000000,100,64,4.0,2.0,2813.0
benowo,600000000,100,64,4.0,2.0,2813.0
benowo,600000000,100,64,5.0,2.0,2813.0
benowo,600000000,100,64,5.0,2.0,2813.0
benowo,600000000,100,64,5.0,2.0,2813.0
benowo,600000000,100,64,5.0,2.0,2813.0
sambikerep,600000000,65,65,3.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
sambikerep,600000000,65,65,4.0,2.0,4023.0
wonokromo,600000000,67,67,3.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,4.0,3.0,18591.0
wonokromo,600000000,67,67,5.0,3.0,18591.0
benowo,600000000,60,72,3.0,1.0,2813.0
benowo,600000000,60,72,3.0,1.0,2813.0
benowo,600000000,60,72,3.0,1.0,2813.0
benowo,600000000,60,72,4.0,2.0,2813.0
benowo,600000000,60,72,4.0,2.0,2813.0
benowo,600000000,60,72,4.0,2.0,2813.0
benowo,600000000,60,72,5.0,2.0,2813.0
benowo,600000000,60,72,5.0,2.0,2813.0
benowo,600000000,60,72,5.0,2.0,2813.0
benowo,600000000,60,72,5.0,2.0,2813.0
benowo,600000000,72,72,3.0,1.0,2813.0
benowo,600000000,72,72,3.0,1.0,2813.0
benowo,600000000,72,72,3.0,1.0,2813.0
benowo,600000000,72,72,4.0,2.0,2813.0
benowo,600000000,72,72,4.0,2.0,2813.0
benowo,600000000,72,72,4.0,2.0,2813.0
benowo,600000000,72,72,5.0,2.0,2813.0
benowo,600000000,72,72,5.0,2.0,2813.0
benowo,600000000,72,72,5.0,2.0,2813.0
benowo,600000000,72,72,5.0,2.0,2813.0
rungkut,600000000,72,72,3.0,2.0,5397.0
rungkut,600000000,72,72,4.0,2.0,5397.0
rungkut,600000000,72,72,5.0,2.0,5397.0
rungkut,600000000,72,72,6.0,2.0,5397.0
rungkut,600000000,72,72,7.0,3.0,5397.0
rungkut,600000000,72,72,6.0,3.0,5397.0
rungkut,600000000,72,72,7.0,3.0,5397.0
rungkut,600000000,72,72,7.0,3.0,5397.0
rungkut,600000000,72,72,7.0,3.0,5397.0
rungkut,600000000,72,72,7.0,3.0,5397.0
rungkut,600000000,60,72,3.0,2.0,5397.0
rungkut,600000000,60,72,4.0,2.0,5397.0
rungkut,600000000,60,72,5.0,2.0,5397.0
rungkut,600000000,60,72,6.0,2.0,5397.0
rungkut,600000000,60,72,7.0,3.0,5397.0
rungkut,600000000,60,72,6.0,3.0,5397.0
